Country,2015,2016,2017,2018,2019,2020
American Samoa,,,,,,
Cook Islands,,,,,,
Fiji,,,,,2,4.2
French Polynesia,,,,,,
Kiribati,,,,8,8,8
Marshall Islands,,,,,,
Micronesia (Federated States of),,,,,,
Nauru,,,,,,
New Caledonia,,,,,,
Niue,,,,,,
Palau,,,,,,
Papua New Guinea,,,,,,
Samoa,,,3.4,3.4,3.4,3.4
Solomon Islands,,,,,,
Tokelau,,,,,,
Tonga,,,,6,6,6
Tuvalu,,,,,,
Vanuatu,,,,2.4,2.4,2.4
