Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 Fiji,1.52,1.37,1.09,0.8,0.63,0.62,0.56,0.59,0.61,1.1,0.87,0.79,0.42,0.23,0.29,0.41,0.53,0.55,0.55,0.71,2.25,2.27,2.27
 Papua New Guinea,57.32,57.46,57.3,56.66,55.9,54.17,52,49.3,49.73,47.3,44.08,44.3,43.46,42.77,37.85,36.22,34.49,34.08,34.75,33.8,26.13,24.9,24.41
 Solomon Islands,48.19,53.2,55.9,54.39,52.34,51.09,49.22,46.76,43.55,41.99,36.71,32.35,31,28.35,29.02,29.56,28.13,26.45,25.9,26.47,23.05,23.06,23.06
