Country,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
 Fiji,4,3.8,3.9,3.8,3.7,3.7,3.7,3.9,4.8,5.6,6.6,6.5,6.7,6.3,6.5,6.3,6.2,5.5,4.9,5.7
 French Polynesia,4.2,4.1,3.9,3.9,3.8,3.8,3.8,3.7,3.6,3.5,3.6,3.6,3.6,3.5,3.6,3.8,4,4.1,4.1,4
 Kiribati,4.4,4.6,5,5.1,5.3,5.5,6,6.2,5.4,4.4,3.5,3.3,3.3,3.2,3.2,3.3,3.4,3.9,4,4.2
 New Caledonia,8.4,8.7,9.1,9.5,9.6,9.5,9.4,9.1,8.2,7.3,6.6,6.6,6.4,6.2,6.2,6.5,6.7,6.8,6.8,6.8
 Papua New Guinea,26.3,27,27.7,28.6,27.4,27.3,26.6,27,26.6,26.2,25,24,23.3,23.1,23,23.2,23.1,22.6,21.9,21.6
 Samoa,3.5,3.5,3.4,3.3,3.4,3.8,3.9,4,3.9,4.2,4.1,4,3.7,4.1,4.4,4.7,4.6,4.5,4.4,4.4
 Solomon Islands,13.3,13.1,12.6,12.7,12.5,12.8,12.6,13.2,13,13.7,14.7,16.5,18,18.7,18.5,18.1,17.7,17.6,17.8,18.1
 Vanuatu,7.5,7.4,7.2,7,6.9,6.4,6.1,5.9,6.1,6.3,6.9,7.4,8.1,8.8,10.3,11.2,12.3,12.6,12.4,11.9
