Country,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Philippines,NA,NA,NA,NA,NA,NA,41.2,42.7,43.8,NA,NA
Poland,NA,NA,NA,8.9,6.3,5.3,4.3,5.8,7.4,NA,NA
Portugal,NA,NA,NA,14.7,13.2,11.6,10.7,11.5,11.6,NA,NA
Paraguay,NA,NA,NA,8.3,10.6,15.6,21.3,24.0,25.3,NA,NA
Qatar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Romania,NA,NA,NA,19.3,16.6,14.7,14.5,13.9,13.4,NA,NA
Rwanda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saudi Arabia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sudan,NA,NA,NA,41.4,43.9,46.4,48.9,49.4,50.7,NA,NA
Senegal,NA,NA,NA,39.0,37.1,35.8,40.0,44.0,49.2,NA,NA
Singapore,NA,NA,NA,2.8,3.1,4.1,4.7,4.5,4.6,NA,NA
Sierra Leone,NA,NA,NA,75.8,81.5,83.0,83.0,85.3,86.7,NA,NA
El Salvador,NA,NA,NA,42.2,41.6,41.6,42.2,45.1,46.5,NA,NA
Serbia,NA,NA,NA,11.4,12.8,12.5,12.4,12.0,14.1,NA,NA
Sweden,NA,NA,NA,4.5,5.3,5.4,5.7,5.3,5.3,NA,NA
Chad,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Togo,NA,NA,NA,60.4,62.2,61.8,61.9,61.2,62.5,NA,NA
Thailand,NA,NA,NA,15.1,19.7,24.8,26.4,29.8,33.8,NA,NA
Tajikistan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tunisia,NA,NA,NA,18.2,19.4,20.0,22.1,25.1,28.0,NA,NA
Tanzania,NA,NA,NA,48.8,55.0,56.6,56.1,56.3,57.6,NA,NA
Uganda,NA,NA,NA,63.4,69.4,74.8,74.5,72.9,72.5,NA,NA
Ukraine,NA,NA,NA,19.8,22.3,21.5,18.3,19.9,22.7,NA,NA
Uruguay,NA,NA,NA,21.6,23.4,25.1,23.2,23.5,23.0,NA,NA
Uzbekistan,NA,NA,NA,11.2,13.4,14.9,17.2,19.7,23.5,NA,NA
Vietnam,NA,NA,NA,NA,NA,6.2,6.2,6.5,7.6,NA,NA
South Africa,NA,NA,NA,NA,NA,NA,17.4,18.2,19.0,NA,NA
Zambia,NA,NA,NA,51.2,52.4,52.0,55.6,60.3,69.5,NA,NA
