Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Channel Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chile,NA,3.40,3.20,3.20,3.20,3.10,3.10,3.10,3.40,3.50,3.40,3.30,3.10,3.10,3.00,3.10,3.10,2.90,2.70,2.60,2.60,NA,NA
China,NA,10.00,9.40,8.60,7.90,7.00,6.10,5.00,4.00,2.80,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,NA,NA
Cote d'Ivoire,NA,20.40,21.00,20.60,19.30,18.30,17.60,17.90,18.20,16.30,13.60,10.90,10.00,9.90,9.20,8.30,6.90,6.00,5.20,4.70,4.40,NA,NA
Cameroon,NA,22.90,20.70,19.30,17.60,15.90,14.10,12.60,11.20,8.80,7.10,5.60,5.20,5.20,5.30,5.40,5.90,6.60,6.90,6.70,6.70,NA,NA
"Congo, Dem. Rep.",NA,32.20,33.70,34.50,34.70,34.60,34.60,34.50,34.50,34.50,34.20,34.50,35.10,35.10,35.10,35.50,36.00,36.40,36.30,37.70,39.80,NA,NA
"Congo, Rep.",NA,27.00,26.40,26.40,31.70,34.00,36.60,35.40,35.50,36.00,36.50,35.90,32.90,28.20,25.30,25.20,26.40,28.30,29.30,29.90,31.60,NA,NA
Colombia,NA,8.70,9.10,9.80,10.60,11.20,11.40,11.00,11.30,12.10,12.90,12.30,10.70,8.90,7.50,6.50,6.00,5.90,6.20,7.20,8.20,NA,NA
Comoros,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cabo Verde,NA,14.50,14.40,13.10,11.30,11.00,11.40,12.30,13.10,14.10,14.20,14.10,14.30,15.10,16.20,16.80,17.00,16.20,15.40,14.50,17.70,NA,NA
Costa Rica,NA,4.70,5.00,5.20,5.00,4.40,3.90,3.80,3.90,4.30,4.60,5.00,5.00,4.90,4.70,4.10,3.60,3.20,3.20,3.40,3.40,NA,NA
Cuba,NA,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,NA,NA
Curacao,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cayman Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyprus,NA,5.10,5.70,6.10,6.90,7.60,7.50,6.90,6.40,4.70,3.00,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,NA,NA
Czech Republic,NA,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,NA,NA
Germany,NA,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,NA,NA
