index,Drought,Earthquake,Economic Crises,Flood,Landslide,Storm,Volcanic activity,Wildfire
Japan,0.0,8.0,0.0,12.0,2.0,16.0,1.0,0.0
Jordan,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
Kazakhstan,3.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0
Kenya,10.0,0.0,4.0,18.0,1.0,0.0,0.0,0.0
Kiribati,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0
Kuwait,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kyrgyzstan,0.0,8.0,0.0,3.0,3.0,0.0,0.0,0.0
Laos,0.0,0.0,2.0,14.0,0.0,8.0,0.0,0.0
Latvia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lebanon,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
Lesotho,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liberia,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0
Libya,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0
Lithuania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Luxembourg,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
Macao,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0
Macedonia,0.0,1.0,0.0,15.0,0.0,0.0,0.0,3.0
Madagascar,10.0,0.0,5.0,3.0,0.0,21.0,0.0,0.0
Malawi,4.0,0.0,1.0,9.0,1.0,1.0,0.0,0.0
Malaysia,3.0,1.0,0.0,10.0,0.0,0.0,0.0,0.0
Maldives,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mali,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
Marshall Islands,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Martinique,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
Mauritania,4.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0
Mauritius,0.0,0.0,0.0,7.0,0.0,4.0,0.0,0.0
Mexico,0.0,14.0,0.0,2.0,0.0,13.0,0.0,0.0
Micronesia,3.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0
Moldova,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
